"id","profileName","text","date","title","rating","images","helpful","variant:"
"R3NY3KXV8N46K7","Owen C. Marshall","With the lockdown from the global pandemic, I have been forced to work from home like many other people. Since my usual job involved supporting hardware, this meant I was going to be stuck! Fortunately, my boss said that if I could spend my time learning skills useful to the lab, I could count the hours doing that. I asked whether learning Python would count. I told him that I would try to create scripts to monitor my hardware from home. He said that was acceptable.I have some programming experience, but it has been years since I coded, and then it was usually for relatively basic tasks in undergrad. I was looking for something that would not insult my intelligence, but that would still be interesting enough to keep me on task. So, after searching around I found this book. I saw the highly rated reviews. I skimmed the language that the author used in the sample. I read the table of contents and saw that the second part of the book consisted of creating games in order to solidify the skills learned.Yes! This sounded perfect.I have not been disappointed.The book walks the reader through setting up (checking if Python is on the computer already, downloading it if necessary, using an IDE and what that is, etc). And then it moves on to the usual basic programming. The writing is clear. I had no problems with the examples and found the practice problems to be well chosen. I also liked the way that the author encouraged good practices such as documentation and testing.I am currently in Part 2 of the book and have been working on the first project, a game called Alien Invasion which is basically a version of Space Invaders. I am definitely enjoying that. And I can see how some of the skills I learn from this could transfer over into monitoring my equipment. Reading files, taking user input, opening windows, drawing on the screen, making calculations, all of these things are necessary for the game, and for my own goals.I personally never had any problems, but I also noticed that the author's website includes cheat sheets, solutions, and errata, not to mention the files suggested for the projects.I am not sure if this book is for an absolute beginner. My experience is too far from that for me to be a good judge. But I can say that a person with basic programming knowledge and no prior knowledge of Python found it to be a great resource.","Reviewed in the United States on May 7, 2020","Easy to Follow, Good Intro for Self Learner","5.0 out of 5 stars","","12",
"R270DXU8YVGFPX","Umar","In embarking on my journey to learn Python, I initially struggled with various online video courses and even subscribed to the paid version of Codecademy, only to find myself constantly backtracking. It wasn't until recently that I dusted off a book that had been sitting on my shelf for a couple of years.This book turned out to be a hidden gem. The clarity and structure of the content are truly commendable. The author's approach to presenting Python concepts made it easy for me to build upon what I learned, creating a strong foundation that kept me motivated throughout the process. I feel the way the book is organized seemed to unlock a seamless progression in my understanding of Python that once I would get to the exercises in the end I was actually able to work through those myself or at least knew what I needed to google to clarify what I needed further elaboration with.Whether you're delving into Python for professional reasons or simply as a personal endeavor, I wholeheartedly recommend this book.This book has made the learning journey enjoyable. If you're looking for a reliable companion on your Python learning path, this book is an excellent choice to get started.","Reviewed in the United States on December 15, 2023","Great for starting your journey on learning python","5.0 out of 5 stars","","0",
"R2MQLH6YIY4MQF","johnny","very informative","Reviewed in the United States on November 13, 2024","good book","5.0 out of 5 stars","","0",
"R2YQ87LERH7LOF","Lisa M. Hunger","Big book but easy to read. My husband read it as he wanted to learn and it was a good read and helpful","Reviewed in the United States on September 10, 2024","Easy to read and insightful","4.0 out of 5 stars","","0",
"R2IOYW8GNJDUAZ","G. W.","So far I've only made it to ""for loops"" chapter 4; but I think this is a really good book. I had an online class from a local University and this book has covered somethings that the class did not. Not that what the book covered and the class didn't has been major; but is interesting that only having reached chapter 4 in the book that there are things the class left out. So far the biggest change between this book and the class I took is that the book does a much better job of explaining for loops. I even watched a video on Youtube to teach you Python with no experience and even that did not do as good a job of explaining why a for loop is written the way it is. Being that the class I took was online and was one of those classes done in half the time (warp speed) I didn't bother to ask why a for loop is written the way it is I just wrote it and followed the class examples (and yes I passed the class with an A but Python is not my first programming language). I feel way more confident in learning Python after the book did such a good job of explaining for loops that as I continue with the book I believe it will explain things better then the class I took or the video I watched. On a side note the class I took, as all college classes I have taken do, required a book and that book just didn't do a good job of explaining for loops (go figure). You might be wondering why am I using this book if I took an online class and the answer is it has been awhile since I took that class so I need a refresher. Also the college that I took that class from doesn't offer another a following Python class to take unless you sign up for a degree program (and I already have a degree I just want to become proficient in Python). I would recommend that if you want to learn Python to use in a job to take at least one class from a college or another way to get proof that you learned Python other than studying it on your own. Also another reason to learn from a book with no class attached to it is you can learn at your own pace. Now I could learn from the book that I bought for the college course since the class only went so far into the book; but I just didn't find that book to be very well written and full of information one doesn't really need to learn how to program with Python. I feel like a ""college"" course book has a lot of bloat while a book like this one is more straight forward. A book like this one survives and sells or not because it is good etc while a college course book is chosen by the teacher or school regardless of the reviews it got. So after this extremely long review I would recommend this book; but I think one does need something (a class, certificate etc) to show proof that one has at least some Python knowledge outside of ones own studying.","Reviewed in the United States on December 26, 2021","Recommend getting, but also get proof of Python knowledge elsewhere (see below)","5.0 out of 5 stars","","18",
"R2M2AT6AHNOA5V","geekandglitter","I am a beginner/intermediate Python programmer with many holes in my knowledge; thus I am using this book both for reference and for systematic self-teaching.I've never seen such a thorough, comprehensive, and easy to use table of contents and index in any technical book.  This makes the book as easy to use as a reference as it is a teaching tool through building projects.This author, who is a trained teacher, clearly has a rationale behind laying out every concept. It's no wonder it's been translated into several languages and is a best seller.The form factor, typeface, and spacing are also carefully planned, as each page draws the eye in.Another note of interest is that I, perhaps like many people, tend not to want to learn through building someone else's projects. I just want to learn what I need to build my own! Thus when I take online courses, I avoid those that are project based.  But a physical book can make it worthwhile to build the projects, because doing so makes it an even better reference afterward. That is, the projects become old friends rather than throw-away. I only thought of this now, looking at this book, because I am confident that if any teacher/author can make me build their project, this author can.As programmers, we all heavily use google to find answers. I am happy to now have a physical book at my side. And just to make this book even better, it comes with lots of free meta materials which the author is actively maintaining.  This book is a find.","Reviewed in the United States on December 3, 2020","Can be used both as a reference and a teaching tool","5.0 out of 5 stars","","4",
"R3G7MCXLOZGDTO","Some Guy","This is probably one of the best introductory programming books I've ever tried. Back when I was an undergraduate, I learned Pascal (yup, they still taught it at that point), C, and C++.  Neither the professors or the textbooks were very good at explaining...well...anything. Luckily, I was able to figure things out for myself, but it really left a sour taste in my mouth about programming (I've done scripting professionally, but it wasn't my primary role).Fast forward to now. I have one foot in each of 2 worlds - behavioral science and IT (networking and security). Both worlds use Python. I decided to get this book and finally sit down and learn it (I was briefly introduced to Python when I was an undergraduate and asked why we didn't have a class in it, I would have preferred it). This book has very clear, concrete examples and you learn by doing. For the first half (or a little more), you'll learn the basics of what you need to navigate the language. You'll do short exercises to lock in what you learn. Later on the book, you'll actually work on larger, more involved projects and the author guides you through with excellent explanations.Needless to say, I picked up Python faster than any language before it. I've come to really like the No Starch Press books as I find them (in general) to be well-written  and clear.","Reviewed in the United States on January 1, 2021","Great","5.0 out of 5 stars","","2",
"R6WTB2RTUXH5O","Amazon Customer","This book is excellent for anyone who wants to learn a computer language from the ground up.  It walks you through the free software to install (how to install it and trouble shoot any issues you may have), gives plenty of examples and discusses common errors, and has made learning Python easy and fun.My background is NOT in computer science, but in mathematics.  I have very little experience programming.  I purchased this book because my 10 year old was interested in learning to program and I wanted to be able to help him get started.  I'm not sure if he would have the patience to read the book on his own, but any adult or kid over the age of 13 should be good to go.The quality of construction of the book cover is ""meh"".  It came undone after a few days of use, but the binding is good (nothing a little glue in the spine wont fix).  The paper and printing are of good quality.  I wouldn't let this minor issue deter me from recommending this book to others.The software for python doesn't need much to run.  In fact, there are apps out there for running it on phones or tablets.  You don't need a full fledged PC to use this software (and again it is free).Best of luck programming.  It is fun!","Reviewed in the United States on June 9, 2020","Excellent Introductory Book","5.0 out of 5 stars","","5",
"R37T2H59DR3WSL","Zerono","Wanted to add in a few tips, so beginners don't get discouraged. Just started reading this book yesterday, and immediately I ran into an issue with getting Sublime Text to work properly. If you're having the same problem, here's what's going wrong. On page 9, the author mentions that you can skip the part that says to create a ""New Build System"" if Python 3 is running correctly. If you were like me and you did not skip that part, then you might run into some issues. When you get to ""print(""Hello Python world!"")"" and go into Tools/Build System, choose ""Python,"" DO NOT choose ""Python3."" By creating a ""Python3.sublime-build"" you are creating an extra, and unnecessary, choice under ""Build System."" Also, the program will not run if you choose ""Python3"" that you've created. So skip the part that says to create ""Python3.sublime-build.""When the author says to create a folder called ""python_work,"" you can create that folder anywhere, but you should actually create it on your Desktop because he later references it on the Desktop. Any file saved as "".py"" is similar to files saved as .docx, .xlsl, or .txt, so don't worry about messing things up or crashing your program; it's just another file. You can move that folder and file around, and it will still work, just like any other Word file.Also, when you see "">>>"" it means that you need to run in terminal session. Go back and read page 4 or 6. Or click on the main Python 3.10 (64-bit) application, to go directly to Python terminal window.Lastly, remember that this book was written in 2018-2019, so the author is using Python 3.7.2. We are currently on 3.10.2. Certain things may look and function a bit differently, but the program language and concept will remain the same.print(""Good luck and happy coding!"")","Reviewed in the United States on February 16, 2022","Tips for beginners","5.0 out of 5 stars","","10",
"R32IHODPYQN8CD","N8","I've had some programming experience in the past.  I've written very basic Perl and Python programs in the past, and have a solid understanding of the basics, such as strings, variables, functions, statements, etc.I got the book ""Learning Python"" and started going through it and was entirely lost; the book mostly focuses on using Python Interpreter for most of the examples, which made it confusing for me to follow along.This book, Python Crash Course is one of the best books I've ever worked with in learning to program anything.  The author explains everything in a very detailed, yet simplistic way, and even puts numbers next to the areas he's explaining, so that the reader can understand what area of the code is being explained.In addition, the book has numerous exercises to do at the end of each chapter that really give the reader a clear grasp of the subject matter that has been presented.  Most of the time, I tend to skip over these, because they seem so tedious and boring in other books....not so in this book.  The author tells you to go find a famous quote you like, and then use that to create an exercise where you're manipulating strings (as an example).I'd have to say that so far, this is one of the best books I've ever worked with in regards to learning programming.  If you're new to programming, and don't know what a variable is verses a string, this is a great book to start with.  If you're like myself, and have a basic understanding of programming syntax, but have some places that are still confusing (maybe you know how to get something to work, but not know why it works for example), this is also a great book.Best book I've read in regards to learning Python, by far.","Reviewed in the United States on March 28, 2021","Very detailed and clearly explained","5.0 out of 5 stars","","6",
